Dealer Code,Name,City,State,Latitude,Longitude,Diesel Price
100107,A. R. DOSHI,RASHIN,Maharashtra,18.43524,74.922858,91.26
100108,ADARSH AUTOMOBILES,PUNE,Maharashtra,18.562112,73.924628,90.35
100110,"ALFA SERVICE STATION, NAIGAON",NAIGAON,Maharashtra,18.488631,74.085941,90.24
100112,AMIT SERVICE CENTRE,BHOR,Maharashtra,18.143793,73.853754,90.78
100113,ANANT OIL AGENCIES,RAHURI,Maharashtra,19.388868,74.64786,90.88
100114,ASHISH PETROLEUM,MORGAON,Maharashtra,18.274073,74.318008,90.74
100116,ASHOK PETROLEUM,YAWAT,Maharashtra,18.474773,74.273983,90.4
100118,DESHMUKH PETROLEUM,PUNE,Maharashtra,18.488571,73.857154,90.35
100119,"BHARAT PETROL DEPOT, NAVI PETH",PUNE,Maharashtra,18.50784,73.843903,90.35
100120,"BHARAT PETROL DEPOT, TILAK TOAD",PUNE,Maharashtra,18.502366,73.856892,90.35
100121,BHAGAVATIPUR VK SSK LTD.,KOLHAR,Maharashtra,19.545573,74.532218,91.04
100124,RAJENDRA FUEL CENTRE,LONI KALBHOR,Maharashtra,18.488943,74.035853,90.24
100125,D. G. MUTHA,SIRUR,Maharashtra,18.828422,74.371085,90.93
100126,DATTA AUTOMOBILES,KHED SHIVAPUR,Maharashtra,18.336566,73.853374,90.49
100127,"DEEPAK PETROLEUM, KURDUWADI",KURDUWADI,Maharashtra,18.092348,75.413319,91.15
100130,FAMOUS AUTO CENTRE,PUNE,Maharashtra,18.527304,73.842575,90.35
100132,HARIKISON AUTO SERVICE,AHMEDNAGAR,Maharashtra,19.084855,74.735008,90.5
100133,HUTATMA RAJGURU SERVICES,CHANDOLI,Maharashtra,18.843187,73.881303,90.66
100134,JAIHIND HIGHWAY SERVICE STATION,PUNE,Maharashtra,18.638711,73.795854,90.41
100135,JANATA AUTOMOBILES,PUNE,Maharashtra,18.515519,73.86773,90.35
100136,GHUMATKAR PETROLEUM,RAJGURUNAGAR,Maharashtra,18.860443,73.890524,90.71
100137,"K.B. LAHOTI, SANGAMNER",SANGAMNER,Maharashtra,19.56954,74.212357,91.31
100146,MOHANISH AUTO CENTRE,PUNE,Maharashtra,18.534497,73.87922,90.35
100149,NUSSERWAN PETROL SERVICE STATION,PUNE,Maharashtra,18.468693,73.858048,90.35
100151,"OZA BROTHERS, SANGAMNER RD.",SHRIRAMPUR,Maharashtra,19.619928,74.651078,91.16
100153,"PREMCHAND LAXMICHAND & SONS,KEDGAON",KEDGAON,Maharashtra,18.453554,74.3781,90.57
100154,"PREMCHAND LAXMICHAND & SONS, DAUND",DAUND,Maharashtra,18.467053,74.57292,90.83
100157,PREMIER SUPPLY CO.,PUNE,Maharashtra,18.513125,73.844741,90.35
100160,RELIABLE PETROLEUM,BHANDGAON,Maharashtra,18.460294,74.3476,90.45
100161,ROSHANI SERVICES,PUNE,Maharashtra,18.539237,73.885772,90.35
100162,S. G. DATE & CO.,BARAMATI,Maharashtra,18.154142,74.570819,91.02
100163,SHREE SADGURU SERVICE STATION,PUNE,Maharashtra,18.526578,73.850827,90.35
100164,SARASWATI AUTO SERVICES,PUNE,Maharashtra,18.499966,73.86603,90.35
100165,SELECT AUTOMOBILES,PUNE,Maharashtra,18.510031,73.833517,90.35
100167,"SHAH DHARSHI JIWAN & CO., AKLUJ",AKLUJ,Maharashtra,17.892905,75.015645,91.5
100168,"SHAH DHARSHI JIWAN & CO., INDAPUR",INDAPUR,Maharashtra,18.110333,75.02177,91.38
100169,"SHAH DHARSHI JIWAN & CO., BHIGWAN",BHIGWAN,Maharashtra,18.3075,74.751055,91.01
